system:index,system:index,ETr
2012,11,146.0927565
2012,12,192.973163
2013,1,174.4804113
2013,2,146.5751812
2013,3,156.1893406
2013,4,129.7056016
2013,5,124.4539573
2013,6,86.35176878
2013,7,128.6848269
2013,8,185.2268677
2013,9,182.7570386
2013,10,162.6852577
2013,11,178.6371235
2013,12,176.7891218
2014,1,169.4148196
2014,2,131.8113728
2014,3,132.0919787
2014,4,128.6428088
2014,5,100.9925624
2014,6,101.7118754
2014,7,119.4989042
2014,8,169.0678925
2014,9,194.1167682
2014,10,205.6758684
2014,11,161.20082
2014,12,168.5021866
2015,1,192.9869406
2015,2,143.3184567
2015,3,142.5535434
2015,4,113.0115409
2015,5,94.94124365
2015,6,108.4570011
2015,7,112.4135796
2015,8,189.9021613
2015,9,180.7751835
2015,10,189.1413938
2015,11,179.4597021
2015,12,201.0661689
2016,1,160.5964449
2016,2,153.6616154
2016,3,139.7523437
2016,4,150.2257402
2016,5,98.19729225
2016,6,93.64209197
2016,7,149.5139016
2016,8,165.2369562
2016,9,176.830035
2016,10,202.2949445
2016,11,165.7775747
2016,12,174.9574302
2017,1,190.0437324
2017,2,143.9801868
2017,3,138.8394509
2017,4,116.0306416
2017,5,99.89174591
2017,6,112.7479236
2017,7,155.9876955
2017,8,170.7762829
2017,9,195.7553794
2017,10,198.1219499
2017,11,164.9958511
2017,12,157.2357134
2018,1,159.2805734
2018,2,131.5279319
2018,3,140.7695714
2018,4,133.1089199
2018,5,130.0689987
2018,6,105.2321275
2018,7,134.8385801
2018,8,154.0574613
2018,9,172.337848
2018,10,162.9647522
2018,11,142.0081063
2018,12,194.6175438
2019,1,206.229524
2019,2,156.974522
2019,3,154.083429
2019,4,116.0200047
2019,5,111.409943
2019,6,133.5243774
2019,7,135.1601962
2019,8,186.2484507
2019,9,211.6414025
2019,10,205.0532428
2019,11,186.288479
2019,12,171.535537
2020,1,191.0961644
2020,2,147.3524052
2020,3,173.9790217
2020,4,158.0580917
2020,5,130.787807
2020,6,135.0804711
2020,7,157.1451001
2020,8,193.4533625
2020,9,212.2688991
2020,10,216.8643071
2020,11,218.1411611
2020,12,200.2682654
2021,1,163.0471258
2021,2,154.7860624
2021,3,149.5656872
2021,4,131.9684251
2021,5,129.5120753
2021,6,108.8299138
2021,7,163.0090757
2021,8,203.674503
2021,9,218.7094958
2021,10,201.6699033
2021,11,153.7575015
2021,12,173.7792609
2022,1,200.4903011
2022,2,159.2345484
2022,3,156.5435664
2022,4,161.5436147
2022,5,133.9721996
2022,6,110.1726602
2022,7,179.5099062
2022,8,173.9609594
2022,9,187.0928381
2022,10,176.8016387
2022,11,221.4254554
2022,12,187.7097854
